タイトル,ポイント,id
ウンナンさん,0.2,
ウンナンの気分は上々。,0.2,
UN街,0.2,
勇者ヨシヒコと魔王の城,0.25,
勇者ヨシヒコと悪霊の鍵,0.25,
勇者ヨシヒコと導かれし七人,0.25,
ネリさまぁ〜ず,0.25,
神さまぁ〜ず,0.25,
ホリさまぁ〜ず,0.25,
マルさまぁ〜ず,0.25,
バナナ塾,0.25,
バナナマンのブログ刑事,0.25,
オトナ養成所_バナナスクール,0.25,
ツギクルもん,0.25,
うつけもん,0.25,
オサレもん,0.25,
30minutes,0.33,
30minutes鬼,0.33,
デリパンダ〜おしゃべりデリ坊、東京ド真ん中配達中〜,0.33,
あらびき団,0.5,
タイプライターズ,0.5,
飛び出せ!科学くん,0.5,
ラブレターズのオールナイトニッポン0(ZERO),0.6,
有田ジェネレーション,0.6,
番組バカリズム,0.6,
ワオ,0.6,
アウトデラックス,0.6,
アフロの変,0.6,
未来ロケット,0.6,
さんまのお笑い向上委員会,0.6,
MASKMEN,0.6,
タイノッチ,0.6,
主演 さまぁ〜ず 〜設定 美容室〜,0.6,
SENSORS,0.6,
リチャードホール,0.6,
人生のパイセンtv,0.65,
潜入捜査アイドル・刑事ダンス,0.65,
日曜×芸人,0.65,
Matthew's best hit TV,0.65,
どぅんつくぱ〜音楽の時間〜,0.65,
三四郎のオールナイトニッポン０,0.65,
バナナマンのバナナムーンGold,0.65,
おぎやはぎのメガネびいき,0.65,
山里亮太の不毛な議論,0.65,
うしろシティ星のギガボディ,0.65,
サイモンずベストテン,0.65,
もろもろのハナシ,0.65,
怪奇恋愛作戦,0.65,
リバースエッジ大川端探偵社,0.65,
Creepy Nutsのオールナイトニッポン0,0.65,
山田孝之の東京都北区赤羽,0.65,
わにとかげぎす,0.65,
スーパーサラリーマン左江内氏,0.65,
黒い十人の女,0.65,
She (テレビドラマ),0.65,
おわこんTV,0.65,
バチバチエレキテる,0.65,
架空OL日記,0.65,
爆笑オンエアバトル,0.7,
考えるヒト,0.7,
LIFE!〜人生に捧げるコント〜,0.7,
小林賢太郎テレビ,0.7,
激レアさんを連れてきた,0.7,
万年B組ヒムケン先生,0.7,
クレイジージャーニー,0.7,
バナナ炎,0.7,
アオイホノオ,0.7,
アリケン,0.7,
笑×演,0.7,
dele,0.7,
下北沢ダイハード,0.7,
くりぃむしちゅーのオールナイトニッポン,0.7,
ハライチのターン,0.7,
バカリズム the movie,0.7,
オモクリ監督 〜O-Creator's TV show〜,0.7,
バカリズムのオールナイトニッポン,0.7,
問題のあるレストラン,0.7,
